latitude,longitude,link_length_km,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,all_hgvs,all_motor_vehicles,road_name
54.99036699,-1.48413374,0.2,0.0,22.0,1785.0,6.0,354.0,112.0,2280.0,A187
54.99085236,-1.50141305,3.0,41.5,48.5,4066.0,11.0,795.0,247.0,5167.0,A187
54.99423164,-1.48214605,0.6,22.5,61.5,3471.0,55.5,1124.0,403.5,5116.0,A187
54.99584036,-1.47173084,0.9,73.0,77.5,6533.5,105.0,949.5,196.5,7862.0,A187
54.99781596,-1.47975517,0.7,41.5,59.5,4801.5,29.5,1108.0,476.0,6474.0,A187
55.00147772,-1.45406965,1.5,65.0,45.0,4569.5,65.0,669.0,95.0,5443.5,A187
55.0079963,-1.44491253,0.9,50.0,25.5,3555.5,84.0,472.5,58.5,4195.5,A187
55.02227999,-1.52917724,1.4,13.5,45.0,8495.5,5.5,1200.5,267.5,10014.0,A191
55.02666077,-1.5009689,4.5,51.5,31.5,9098.5,154.0,1024.0,132.0,10439.5,A191
55.03053228,-1.46055847,0.3,89.5,66.5,14885.0,164.5,1481.5,101.0,16699.5,A191
55.03715241,-1.45389786,1.3,52.0,17.0,6025.5,134.5,617.0,27.5,6821.5,A191
55.0143076,-1.4495168,1.5,56.0,10.0,3447.5,40.5,413.0,26.0,3937.5,A192
55.02692270000001,-1.45716548,1.1,101.0,45.5,10951.0,30.5,1128.0,104.0,12259.0,A192
54.991901799999994,-1.5279698,0.9,27.5,15.5,3093.0,175.5,485.0,45.0,3814.0,A193
54.99195802,-1.51937304,0.3,22.5,36.5,2548.0,2.5,530.0,72.5,3188.5,A193
54.99655836,-1.50134235,2.6,42.5,31.5,4877.0,71.0,1019.0,109.5,6107.5,A193
55.00023946,-1.48331931,0.4,38.5,162.0,12131.5,67.0,2657.5,700.5,15718.5,A193
55.00541206,-1.4699635,1.8,44.0,31.0,5479.5,58.0,809.0,69.0,6447.5,A193
55.00770021,-1.45898853,0.5,72.5,43.0,6239.0,67.0,1033.5,64.5,7448.0,A193
55.0098218,-1.45114184,0.5,48.0,21.5,4568.5,126.0,592.0,55.0,5362.5,A193
55.01088594,-1.44799998,0.2,35.0,24.0,4064.5,12.0,508.0,54.5,4663.0,A193
55.01299962,-1.43858844,2.9,55.5,38.0,3941.0,47.5,490.0,38.5,4555.5,A193
55.03223763,-1.44019705,1.8,25.0,21.0,5004.0,24.0,801.0,47.5,5897.0,A193
54.93913633,-1.52390509,1.4,0.0,58.5,16659.5,51.5,3228.0,1139.5,21137.0,A194(M)
54.94529627,-1.51588625,0.1,0.0,58.5,16659.5,51.5,3228.0,1139.5,21137.0,A194(M)
54.95432486,-1.50186511,3.3,10.0,164.5,15901.0,41.5,2748.5,703.0,19559.0,A194
54.96446387,-1.47674992,0.4,22.0,365.0,35300.0,92.0,6103.0,1561.0,43421.0,A194
54.96677316,-1.47047211,0.7,36.0,241.0,18010.5,95.0,2969.0,615.0,21931.5,A194
54.97398268,-1.45475495,1.6,26.0,38.0,7178.0,20.5,1348.5,287.5,8872.5,A194
54.97834904,-1.44657131,2.9,158.0,113.5,15702.0,92.0,2576.0,587.5,19071.0,A194
54.93917262,-1.53326994,0.8,77.0,34.0,5024.0,86.5,776.0,186.0,6107.0,A195
54.94277357,-1.53494537,0.8,170.0,75.0,11153.0,192.0,1723.0,414.0,13558.0,A195
54.94618165,-1.53318879,0.3,55.0,49.0,5891.0,79.0,947.0,195.0,7161.0,A195
54.94697837,-1.5300572000000001,0.8,12.0,10.0,1895.0,44.0,395.0,41.5,2385.5,A195
54.94701584,-1.47338572,1.8,0.0,163.0,17483.5,16.0,3393.0,1295.5,22352.0,A19
54.95572412,-1.47142932,0.3,3.0,40.0,3680.0,3.0,702.0,262.0,4687.0,A19
54.95641564,-1.47340342,0.2,3.0,40.0,3680.0,3.0,702.0,262.0,4687.0,A19
54.96048648,-1.4713356000000002,1.0,16.0,199.5,18399.5,16.0,3510.0,1311.0,23436.5,A19
54.9694892,-1.47512257,1.5,4.5,164.5,16930.5,15.0,3635.0,1352.5,22098.0,A19
54.97850348,-1.4816453,1.2,15.0,341.0,21890.0,17.0,4521.0,1529.0,28299.0,A19
54.97852325,-1.48206689,1.4,0.0,220.0,17854.0,55.0,3544.0,1123.0,22796.0,A19
54.98943524,-1.48480207,1.2,0.0,220.0,17854.0,55.0,3544.0,1123.0,22796.0,A19
54.98946794,-1.48403587,1.4,16.0,341.0,21890.0,17.0,4521.0,1529.0,28299.0,A19
54.99643584,-1.48486874,1.0,0.0,172.0,15631.0,20.0,3136.0,869.0,19828.0,A19
